#At time x process y state arr w total z remain y wait k
At time 1 process 1 started arr 1 total 5 remain 5 wait 0
At time 2 process 1 stopped arr 1 total 5 remain 4 wait 0
At time 2 process 1 resumed arr 1 total 5 remain 4 wait 0
At time 3 process 1 stopped arr 1 total 5 remain 3 wait 0
At time 3 process 1 resumed arr 1 total 5 remain 3 wait 0
At time 4 process 1 stopped arr 1 total 5 remain 2 wait 0
At time 4 process 1 resumed arr 1 total 5 remain 2 wait 0
At time 5 process 1 stopped arr 1 total 5 remain 1 wait 0
At time 5 process 1 resumed arr 1 total 5 remain 1 wait 0
At time 6 process 1 finished arr 1 total 5 remain 0 wait 0 TA 5 WTA 1.00 
At time 6 process 2 started arr 2 total 5 remain 5 wait 4
At time 7 process 2 stopped arr 2 total 5 remain 4 wait 4
At time 7 process 3 started arr 3 total 5 remain 5 wait 4
At time 8 process 3 stopped arr 3 total 5 remain 4 wait 4
At time 8 process 5 started arr 3 total 5 remain 5 wait 5
At time 9 process 5 stopped arr 3 total 5 remain 4 wait 5
At time 9 process 2 resumed arr 2 total 5 remain 4 wait 6
At time 10 process 2 stopped arr 2 total 5 remain 3 wait 6
At time 10 process 3 resumed arr 3 total 5 remain 4 wait 6
At time 11 process 3 stopped arr 3 total 5 remain 3 wait 6
At time 11 process 5 resumed arr 3 total 5 remain 4 wait 7
At time 12 process 5 stopped arr 3 total 5 remain 3 wait 7
At time 12 process 2 resumed arr 2 total 5 remain 3 wait 8
At time 13 process 2 stopped arr 2 total 5 remain 2 wait 8
At time 13 process 3 resumed arr 3 total 5 remain 3 wait 8
At time 14 process 3 stopped arr 3 total 5 remain 2 wait 8
At time 14 process 5 resumed arr 3 total 5 remain 3 wait 9
At time 15 process 5 stopped arr 3 total 5 remain 2 wait 9
At time 15 process 2 resumed arr 2 total 5 remain 2 wait 10
At time 16 process 2 stopped arr 2 total 5 remain 1 wait 10
At time 16 process 3 resumed arr 3 total 5 remain 2 wait 10
At time 17 process 3 stopped arr 3 total 5 remain 1 wait 10
At time 17 process 5 resumed arr 3 total 5 remain 2 wait 11
At time 18 process 5 stopped arr 3 total 5 remain 1 wait 11
At time 18 process 2 resumed arr 2 total 5 remain 1 wait 12
At time 19 process 2 finished arr 2 total 5 remain 0 wait 12 TA 17 WTA 3.40 
At time 19 process 3 resumed arr 3 total 5 remain 1 wait 12
At time 20 process 3 finished arr 3 total 5 remain 0 wait 12 TA 17 WTA 3.40 
At time 20 process 5 resumed arr 3 total 5 remain 1 wait 13
At time 21 process 5 finished arr 3 total 5 remain 0 wait 13 TA 18 WTA 3.60 
